tpeak,amp,ed_s,fall
2036.706266,0.004407906,1.431183973,0.002955935
2036.978496,0.001281528,1.057786284,0.009140846
2037.006275,0.001754295,1.201184236,0.00692068
2037.031276,0.001530118,1.151673959,0.01
2037.143779,0.0015967,0.625387871,0.004343857
2037.443788,0.006869093,2.632282462,0.003479035
2037.675739,0.032556354,18.24306922,0.005928275
2037.720185,0.011500022,4.058335198,0.003251552
2039.184116,0.011643643,5.274221437,0.004668248
2039.266062,0.003423736,1.0314497,0.002873939
2039.349398,0.008432114,5.194481345,0.006190287
2039.439678,0.00151912,1.260013256,0.01
2039.598016,0.001855066,1.634486072,0.01
2039.821633,0.003645321,2.667182884,0.007609537
2040.023027,0.00173583,1.558243959,0.01
2040.352203,0.00122058,0.759354997,0.006811875
2040.467484,0.001174874,0.64048962,0.005391382
2040.491096,0.00136197,0.311108007,0.001940994
2040.611932,0.002309523,0.568162557,0.002064847
2040.791103,0.001963289,1.338726001,0.007557334
2041.370285,0.00200575,0.7758112,0.003603317
2041.610569,0.001092432,1.060300809,0.01
2042.049469,0.001171375,1.071042138,0.01
2042.485591,0.014588993,5.586071549,0.00357641
2042.502258,0.007750902,4.203854121,0.005240748
2042.606427,0.001427745,1.201446879,0.01
2042.699485,0.001568661,0.73373633,0.004725969
2043.768954,0.001153759,0.540528109,0.005050544
2044.091184,0.00187259,0.871090036,0.004971739
2044.577306,0.001903618,1.555063604,0.008974478
2044.741199,0.001291821,0.296706203,0.00188856
2046.373179,0.001274834,0.425444698,0.003140895
2046.62874,0.001188948,1.132282619,0.01
2046.867634,0.002239058,1.608728246,0.008023392
2047.214863,0.009603349,5.531108169,0.005814034
2047.3482,0.009056916,4.863692225,0.005471444
2047.505148,0.00268284,0.813597356,0.002649787
2047.628761,0.004242184,3.693812932,0.01
2047.832933,0.003321033,0.908255261,0.002449711
2049.738518,0.005694147,1.706306787,0.002795074
2050.656583,0.001744274,1.556960762,0.01
2050.86214,0.003670134,2.358006321,0.007163269
2051.170476,0.00269929,2.553249484,0.01
2051.445478,0.006726134,6.466964341,0.01
2051.517701,0.001394193,1.189722849,0.01
2051.839926,0.002562479,1.732687764,0.007549934
2053.430214,0.035258014,23.52089952,0.007104945
2053.849661,0.001343927,1.258632564,0.01
2054.292719,0.002525172,1.538486088,0.00633877
2054.403831,0.001264271,0.715689284,0.006785003
2055.903836,0.004324711,3.917511174,0.01
2055.956614,0.001643281,0.81903065,0.005405231
2056.270504,0.007436337,1.658857894,0.001800656
2056.688561,0.002253409,1.20140358,0.005737804
2056.831617,0.009437522,8.962653015,0.01
2056.917728,0.023637031,17.59911127,0.007960236
2057.133006,0.002436321,2.113554714,0.01
2057.208006,0.002033322,1.689655219,0.00869813
2057.799674,0.024416958,9.458470226,0.003638762
2058.071897,0.001252283,1.189689918,0.01
2058.241341,0.0064494,3.403856467,0.005245028
2058.710786,0.002317782,0.617862032,0.00232188
2058.838564,0.012193242,6.654159331,0.005685038
2059.098286,0.001335112,0.336596901,0.002040481
2059.110786,0.001400294,1.168463541,0.01
2059.35662,0.002338202,0.963846366,0.004185993
2059.387176,0.001776303,0.966848479,0.005691716
2059.551065,0.011552254,6.023404692,0.005012365
2060.40801,0.001903363,0.936864568,0.004921602
2060.503843,0.002066081,2.017827735,0.01
