tpeak,amp,ed_s,fall
1491.755191,0.007995464,6.234005622,0.008475195
1491.780191,0.002403764,0.573106282,0.001901966
1492.174644,0.027162451,17.00738078,0.006296478
1492.23159,0.035210195,13.58834991,0.003898511
1492.337147,0.004092873,1.481015015,0.003474864
1492.427427,0.014525758,8.708140527,0.006258268
1492.739933,0.00336999,1.519358415,0.004661372
1492.84688,0.00562973,1.331380943,0.001857816
1493.06355,0.026593494,8.535035758,0.003157233
1493.284388,0.002936867,1.68667319,0.006035679
1493.371889,0.004599646,1.62558951,0.003387259
1493.595504,0.004136959,3.550192834,0.01
1493.770507,0.012882221,3.230469011,0.002217635
1493.90662,0.026292843,11.96859307,0.004588257
1493.996899,0.019733472,10.64965701,0.005404812
1494.278848,0.02171228,6.468873972,0.002737341
1494.731633,0.015166574,3.487902643,0.001913868
1494.758022,0.007086723,4.405367215,0.007974933
1494.889968,0.004233215,2.869677221,0.008009355
1495.105249,0.003938237,0.97174459,0.002050667
1495.492754,0.005749707,5.009762147,0.01
1495.742757,0.003227994,1.079507985,0.003130221
1496.178872,0.052160709,18.85113378,0.003483173
1496.299707,0.0039232,3.34822242,0.008789946
1496.383041,0.006059239,1.183279766,0.001465195
1496.437208,0.005725034,1.529026993,0.002296789
1496.480264,0.00567691,1.68031943,0.002755072
1496.566376,0.00868369,3.002813325,0.003260867
1496.774711,0.00420279,2.185781709,0.005835111
1496.901101,0.002920231,0.893685908,0.002887798
1496.938602,0.002130822,0.924937736,0.004032483
1496.994158,0.002838855,2.330941376,0.01
1497.051103,0.003877026,1.484081019,0.004076402
1497.116381,0.005389154,4.704449282,0.01
1497.209437,0.007895654,4.884734683,0.006562834
1497.344161,0.002635823,2.271826576,0.01
1497.437217,0.004851219,1.380718366,0.00249799
1497.617774,0.046339652,16.24856435,0.003402482
1497.688608,0.011291629,7.259867995,0.006586991
1498.135833,0.003335929,2.696946251,0.01
1498.195555,0.004548776,4.318900319,0.01
1498.292778,0.014162015,3.452269154,0.002076798
1498.915003,0.008899993,2.466310441,0.002540178
1499.355282,0.008317414,1.744445641,0.001688236
1499.39556,0.005457042,1.98411954,0.003384851
1499.619172,0.01484229,3.140413921,0.001678965
1500.870561,0.005483885,1.639491237,0.002772062
1500.945561,0.002925061,1.076367962,0.003749794
1501.256671,0.005029524,4.292313146,0.01
1501.795558,0.002241642,0.563241467,0.002107651
1501.956669,0.003207132,1.867820982,0.006538229
1502.065001,0.002062989,1.827973571,0.009585873
1502.227501,0.00613344,3.731852358,0.005987682
1502.324722,0.005265833,4.879872452,0.01
1502.405277,0.003471086,0.992020115,0.002656451
1502.502499,0.013213367,5.097204747,0.003840674
1502.56361,0.002598233,0.732225101,0.002363298
1502.638609,0.003232662,3.046566641,0.01
1502.671942,0.002293882,1.924136776,0.01
1502.792775,0.003490659,1.231629822,0.003674869
1502.869163,0.002977632,2.780446704,0.01
1504.789986,0.061748209,38.46884037,0.006569824
1504.928875,0.026398769,6.48216516,0.002106045
1504.949709,0.012856521,3.872307894,0.002714905
1505.302486,0.003535856,0.980969033,0.002526645
1505.364986,0.031815485,15.0383337,0.004470256
1505.774707,0.00304611,0.66509982,0.001744865
1505.849707,0.029178595,7.942089429,0.002385753
1506.023318,0.003637345,1.694749733,0.005271632
1506.260817,0.003270773,1.163450935,0.003474528
1506.291372,0.005015809,2.993904206,0.006492033
1506.335816,0.004729166,4.224811067,0.01
1506.71637,0.017256038,6.970040198,0.004004735
1506.870536,0.004653287,2.090790976,0.004729646
1506.966369,0.012529891,2.837431018,0.001898358
1507.023313,0.141670324,32.23694526,0.001907783
1507.178867,0.047635501,14.65592815,0.002731805
1507.245534,0.015477875,4.341611236,0.002519232
1508.013583,0.00778963,3.520150719,0.00454637
1508.12886,0.007019098,2.148428724,0.002880384
1508.462191,0.002429029,0.589466685,0.001954744
1508.656633,0.12617709,80.51953315,0.006995261
1508.763576,0.120449285,30.88179977,0.002282136
1508.927464,0.011462332,1.899441944,0.001086196
1509.002463,0.020356431,7.197502176,0.003517338
1509.158017,0.003653775,2.174147643,0.00708885
1509.217738,0.044473216,21.43970832,0.004605787
1509.308015,0.00955816,6.853302021,0.008299778
1509.470513,0.01026295,2.790517845,0.002465842
1509.595511,0.002650522,0.87380772,0.003074869
1509.731621,0.031274086,7.824519497,0.002167133
1509.959396,0.003425392,1.930695171,0.005993551
1510.364946,0.008284466,3.82127144,0.004418909
1510.570498,0.018102065,5.80385319,0.003084798
1510.981603,0.013916792,6.034861164,0.003469965
1511.060769,0.00670747,1.753914944,0.002252168
1511.144101,0.121290572,41.25251474,0.003299159
1511.455207,0.005596538,1.150202228,0.001574702
1511.542705,0.01125465,5.430460946,0.004695241
1511.602426,0.011610854,3.478549955,0.002816016
1511.670481,0.00682931,3.362024076,0.005238401
1511.824645,0.003115388,1.314453152,0.00427478
1512.082973,0.008833867,2.1680917,0.002149555
1512.159361,0.036193989,12.4029367,0.003162881
1512.296858,0.008839518,1.834619528,0.00160952
1512.414912,0.003644353,1.65750574,0.004766348
1512.448244,0.00237817,0.410681187,0.001135501
1512.53852,0.00240307,0.442339418,0.001333453
1512.626019,0.006341299,4.007229123,0.006510794
1513.185729,0.008194781,2.331603554,0.002520324
1513.334337,0.004931224,0.838382436,0.001113982
1513.507945,0.004265495,3.677169051,0.01
1513.802383,0.009334758,2.002036736,0.001701084
1514.464867,0.009507057,3.112639409,0.003425005
1514.64264,0.01546296,6.082441345,0.003617995
1514.766248,0.005562975,1.067394475,0.001391209
1514.805136,0.002524964,1.27019647,0.005286155
1514.950966,0.002644755,1.014433258,0.003887956
1515.110684,0.00401876,1.375016927,0.003104019
1515.255124,0.00289277,0.912627111,0.002845764
1515.413453,0.010279775,2.410875572,0.001967487
1515.427342,0.010364993,3.770929555,0.003320802
1515.51345,0.01112835,2.889684933,0.002247341
1515.691223,0.02173292,4.882321544,0.001904173
