tpeak,amp,ed_s,fall
2229.270233,0.001338529,0.400943346,0.002728766
2229.368845,0.001849682,0.35414072,0.001408167
2229.389678,0.002316138,1.762814413,0.00923796
2229.473012,0.005146436,2.137329934,0.004076445
2229.550791,0.002452418,1.420742702,0.006868142
2229.846627,0.002167309,1.889996725,0.01
2230.102184,0.006780433,6.128204423,0.01
2230.525798,0.006495142,3.118374422,0.005237512
2230.657744,0.004061753,1.069489596,0.00214364
2230.67441,0.002912966,0.54522514,0.001336687
2230.698022,0.002302964,0.876647839,0.003694296
2230.766078,0.002234426,0.455097356,0.001530741
2230.898023,0.001478495,0.292957769,0.001432044
2230.932745,0.002157271,1.289177609,0.005961506
2230.956356,0.001749789,1.507989983,0.01
2231.06469,0.002446047,2.309912862,0.01
2231.229969,0.041143732,11.54705615,0.002602782
2231.361914,0.005073001,2.569761681,0.005454239
2231.499415,0.024738829,10.89509301,0.004459244
2231.56747,0.001786374,1.12308389,0.00624821
2231.588304,0.00151988,0.381628994,0.002021126
2231.670249,0.003459593,3.17676006,0.01
2231.809138,0.00632651,1.457781353,0.001966044
2231.845249,0.001911237,0.842044551,0.004079583
2232.046639,0.021148926,3.68283765,0.001196806
2232.098028,0.030820118,6.05307245,0.001479571
2232.266084,0.002369422,0.4726126,0.001472914
2232.318862,0.005939494,4.052876223,0.007947646
2232.499417,0.010872944,6.829004747,0.007335151
2232.856362,0.002371586,2.100215925,0.01
2232.961918,0.004179554,1.052689073,0.002296318
2233.063307,0.007271262,3.08000143,0.004537523
2233.224418,0.007638251,1.439076519,0.001377297
2233.385529,0.002686776,1.507404839,0.005477315
2233.456362,0.007517337,3.945028804,0.005675059
2233.524418,0.0012943,1.00115956,0.007867902
2233.661918,0.001077807,1.010919653,0.01
2234.10775,0.003273184,1.804872709,0.005636178
2234.188306,0.002850587,0.829776396,0.002754708
2234.679971,0.005198395,2.546800753,0.005052679
2234.75636,0.011734889,1.800625113,0.000920106
2235.379968,0.004541803,2.935546488,0.006701103
2235.459134,0.001422415,0.898051656,0.006983177
2235.6383,0.003539045,1.389848873,0.003852116
2235.78691,0.002014812,1.288523626,0.007399777
2235.84941,0.001924225,1.114204032,0.006336031
2235.946631,0.009144837,3.649220993,0.003744871
2236.078575,0.002962523,0.698152342,0.001962528
2236.24524,0.002533965,2.878207796,0.01
2236.253574,0.008996204,3.440066224,0.003548702
2236.475794,0.001596783,0.755923093,0.004559283
2236.906346,0.020277747,5.533470058,0.002364903
2236.942457,0.012223066,3.127736276,0.002285088
2237.042456,0.004131595,0.853877502,0.001625339
2237.110511,0.004016314,1.718457179,0.004397138
2237.24801,0.002212602,0.35007807,0.000954886
2237.353564,0.001713202,1.428473292,0.01
2237.414675,0.006405589,2.016307403,0.002983437
2237.424397,0.002702785,0.648143483,0.001980693
2237.438285,0.002209726,0.669586531,0.002504095
2237.709116,0.016668643,16.1310316,0.01
2237.781337,0.005547051,4.199073488,0.008617275
2237.927169,0.002352951,0.661933565,0.002629752
2238.336886,0.002566476,1.65241373,0.007959556
2238.442441,0.009639363,2.557284843,0.002385111
2238.595216,0.018212076,7.787021092,0.004233049
2238.717437,0.016409556,8.304277404,0.004984394
2238.943823,0.344070489,350.0412924,0.01
2239.343817,0.004333167,1.524551087,0.003398894
2239.432704,0.002417741,1.108308672,0.004395037
2239.47437,0.003611922,1.627659238,0.005024495
2239.599368,0.010224635,2.40553418,0.001936794
2239.892419,0.042541958,13.03508793,0.002793931
2240.07436,0.00278626,0.854668372,0.002671435
2240.149359,0.006389744,3.085266498,0.005060901
2240.329911,0.022894998,6.277372915,0.002429399
2240.641016,0.018072921,5.517920777,0.002663062
2240.832679,0.012291247,5.692034039,0.004310806
2242.450704,0.019936261,5.365835842,0.002418584
2242.638202,0.005794978,3.527467031,0.006857184
2242.7507,0.01347753,4.704313923,0.003318037
2242.917365,0.061783658,16.54298757,0.002455023
2243.099307,0.007127978,2.334214361,0.003260432
2243.127084,0.016652455,7.228658789,0.004472914
2243.184028,0.016764726,6.481047644,0.003528991
2243.349303,0.001283623,0.375448404,0.002357474
2243.368747,0.002750451,0.776749604,0.002522081
2243.493746,0.117012595,30.78249892,0.002295002
2243.813185,0.010201966,4.359940231,0.004738789
2244.521507,0.007906713,2.759158854,0.00354384
2245.236772,0.006725391,1.906310911,0.002581536
2245.289548,0.001917193,0.631490713,0.00306235
2245.45899,0.002628163,0.67764857,0.00228605
2245.790927,0.005751783,1.76575334,0.002871682
2246.118698,0.00765892,1.221868651,0.001014793
2246.228418,0.005306744,3.869807196,0.007650674
2246.454802,0.002386816,2.003108752,0.01
2246.599243,0.003019372,2.665196388,0.01
2246.610354,0.003212271,1.787326467,0.005971449
2246.661742,0.011696675,4.43155119,0.003558913
